"Date","Event"
"4/25/1927","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1927","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1927","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1927","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/23/1928","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1928","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1928","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1928","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/22/1929","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1929","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1929","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1929","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/28/1930","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/28/1930","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/9/1930","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1930","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"5/10/1930","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"1/19/1931","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1931","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1931","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1931","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1931","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1931","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1931","North America - United States - State holiday - Confederate Memorial Day - Monday"
"1/19/1932","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/25/1932","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1932","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1932","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1932","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"1/19/1933","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/24/1933","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1933","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1933","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"5/10/1933","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"1/19/1934","North America - United States - State holiday - Confederate Memorial Day - Friday"
"4/23/1934","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/30/1934","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1934","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"5/10/1934","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"1/19/1935","North America - United States - State holiday - Confederate Memorial Day - Saturday"
"4/22/1935","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/29/1935","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1935","North America - United States - State holiday - Confederate Memorial Day - Friday"
"5/10/1935","North America - United States - State holiday - Confederate Memorial Day - Friday"
"1/19/1936","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"4/27/1936","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/27/1936","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1936","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/10/1936","North America - United States - State holiday - Confederate Memorial Day - Sunday"
"5/11/1936","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/11/1936","North America - United States - State holiday - Confederate Memorial Day - Monday"
"1/19/1937","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"4/26/1937","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/26/1937","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1937","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1937","North America - United States - State holiday - Confederate Memorial Day - Monday"
"1/19/1938","North America - United States - State holiday - Confederate Memorial Day - Wednesday"
"4/25/1938","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/25/1938","North America - United States - State holiday - Confederate Memorial Day - Monday"
"5/10/1938","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"5/10/1938","North America - United States - State holiday - Confederate Memorial Day - Tuesday"
"1/19/1939","North America - United States - State holiday - Confederate Memorial Day - Thursday"
"4/24/1939","North America - United States - State holiday - Confederate Memorial Day - Monday"
"4/24/1939","North America - United States - State holiday - Confederate Memorial Day - Monday"
